title,author,order,rating,publication_year,num_pages
The Hunger Games,Suzanne Collins,1,4.32,2008,374
Harry Potter and the Order of the Phoenix,J.K. Rowling,2,4.50,2003,870
To Kill a Mockingbird,Harper Lee,3,4.28,1960,324
Pride and Prejudice,Jane Austen,4,4.27,1813,279
Twilight,Stephenie Meyer,5,3.61,2005,501
The Book Thief,Markus Zusak,6,4.38,2005,552
Animal Farm,George Orwell,7,3.96,1945,141
The Chronicles of Narnia,C.S. Lewis,8,4.26,1956,767
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,9,4.60,1955,1728
The Fault in Our Stars,John Green,10,4.18,2012,313
Gone with the Wind,Margaret Mitchell,11,4.30,1936,1037
The Hitchhiker's Guide to the Galaxy,Douglas Adams,12,4.22,1979,193
The Giving Tree,Shel Silverstein,13,4.37,1964,64
Wuthering Heights,Emily Brontë,14,3.87,1847,464
The Picture of Dorian Gray,Oscar Wilde,15,4.09,1890,272
The Da Vinci Code,Dan Brown,16,3.87,2003,489
Memoirs of a Geisha,Arthur Golden,17,4.13,1997,503
Jane Eyre,Charlotte Brontë,18,4.13,1846,532
Alice's Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,19,4.06,1871,239
Les Misérables,Victor Hugo,20,4.18,1862,1463
Fahrenheit 451,Ray Bradbury,21,3.99,1953,194
Divergent,Veronica Roth,22,4.18,2011,487
The Perks of Being a Wallflower,Stephen Chbosky,23,4.21,1999,213
The Great Gatsby,F. Scott Fitzgerald,24,3.93,1925,200
Lord of the Flies,William Golding,25,3.69,1954,182
The Alchemist,Paulo Coelho,26,3.89,1988,182
Harry Potter and the Sorcerer's Stone,J.K. Rowling,27,4.47,1997,309
Crime and Punishment,Fyodor Dostoyevsky,28,4.23,1866,671
Romeo and Juliet,William Shakespeare,29,3.75,1597,301
The Little Prince,Antoine de Saint-Exupéry,30,4.31,1943,96
The Help,Kathryn Stockett,31,4.46,2009,464
Ender's Game,Orson Scott Card,32,4.30,1985,324
Anne of Green Gables,L.M. Montgomery,33,4.26,1908,320
Charlotte's Web,E.B. White,34,4.18,1952,184
Of Mice and Men,John Steinbeck,35,3.88,1937,103
The Lightning Thief,Rick Riordan,36,4.27,2005,377
